run,SEED,spatial_dim,epochs,eval_every,lr,lr_decay,gamma,optimizer,n_fgd_vec,N_test,test_batch_size,N_val,val_batch_size,seq_len,use_seed_seq,seed_frac,x_radius,x_ordering,hess_diag_method,stde_dist,backbone,no_stde,ad_mode,eqn_name,num_mamba_blocks,block_size,mlp_width,mlp_depth,hidden_features,expansion_factor,dt_rank,activation,norm_type,dense_expansion,complement,tie_in_proj,tie_gate,bidirectional,diag_skip,diag_gate,diag_gated,diag_residual,recursive_scan,min_recursion_length,recursive_split,custom_vjp_scan,ssm_activation,run_name,save_every,rand_batch_size,l1_rel,l2_rel,iter_per_s,time_per_epoch,total_time,peak_gpu_mem,num_params,final_loss,best_loss,variant,seed
Mamba/PoissonHouman/num_mamba_blocks2_hidden_features8_expansion_factor1.0_dt_rankauto_activationwave_bidirectionalTrue_ad_modereverse_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,stacked,rademacher,Mamba,True,reverse,PoissonHouman,2,-1,128,4,8,1.0,auto,wave,none,2,False,False,False,True,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks2_hidden_features8_expansion_factor1.0_dt_rankauto_activationwave_bidirectionalTrue_ad_modereverse_no_stdeTrue/0,10000,16,0.12103358656167984,0.12918022274971008,0.0,0.0077652667045593265,77.72536563873291,112.221923828125,397,51.66554260253906,12.977279663085938,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks2_hidden_features8_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalFalse_ad_modeforward_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,forward,rademacher,Mamba,True,forward,PoissonHouman,2,-1,128,4,8,1.0,auto,tanh,none,2,False,False,False,False,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks2_hidden_features8_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalFalse_ad_modeforward_no_stdeTrue/0,10000,16,0.08482585847377777,0.08328014612197876,0.0,0.006217427253723144,62.232802867889404,112.18212890625,235,51.47110366821289,12.78618335723877,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalFalse_ad_modeforward_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,forward,rademacher,Mamba,True,forward,PoissonHouman,1,-1,128,4,16,1.0,auto,tanh,none,2,False,False,False,False,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalFalse_ad_modeforward_no_stdeTrue/0,10000,16,0.038283541798591614,0.03951112553477287,0.0,0.005227366185188293,52.32559084892273,112.173583984375,190,51.465126037597656,12.726757049560547,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalFalse_ad_modereverse_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,stacked,rademacher,Mamba,True,reverse,PoissonHouman,1,-1,128,4,16,1.0,auto,gelu,none,2,False,False,False,False,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks1_hidden_features16_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalFalse_ad_modereverse_no_stdeTrue/0,10000,16,0.038628362119197845,0.041417062282562256,0.0,0.00506584894657135,50.70742154121399,112.17529296875,190,51.43033981323242,12.745521545410156,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks2_hidden_features16_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modeforward_no_stdeFalse/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,sparse_stde,rademacher,Mamba,False,forward,PoissonHouman,2,-1,128,4,16,1.0,auto,tanh,none,2,False,False,False,True,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks2_hidden_features16_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modeforward_no_stdeFalse/0,10000,16,0.11909689754247665,0.14668436348438263,0.0,0.009415644526481628,94.23755145072937,112.196044921875,649,53.695491790771484,16.930667877197266,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks2_hidden_features8_expansion_factor1.0_dt_rankauto_activationwave_bidirectionalFalse_ad_modeforward_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,forward,rademacher,Mamba,True,forward,PoissonHouman,2,-1,128,4,8,1.0,auto,wave,none,2,False,False,False,False,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks2_hidden_features8_expansion_factor1.0_dt_rankauto_activationwave_bidirectionalFalse_ad_modeforward_no_stdeTrue/0,10000,16,0.17966803908348083,0.19571122527122498,0.0,0.006316796612739563,63.226629972457886,112.187255859375,239,51.290374755859375,12.6365385055542,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks1_hidden_features8_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalFalse_ad_modeforward_no_stdeFalse/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,sparse_stde,rademacher,Mamba,False,forward,PoissonHouman,1,-1,128,4,8,1.0,auto,tanh,none,2,False,False,False,False,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks1_hidden_features8_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalFalse_ad_modeforward_no_stdeFalse/0,10000,16,0.060475368052721024,0.06329117715358734,0.0,0.004634080481529236,46.39339351654053,112.181884765625,126,51.45723342895508,12.743463516235352,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks2_hidden_features16_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modereverse_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,stacked,rademacher,Mamba,True,reverse,PoissonHouman,2,-1,128,4,16,1.0,auto,tanh,none,2,False,False,False,True,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks2_hidden_features16_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modereverse_no_stdeTrue/0,10000,16,0.451847106218338,0.44047850370407104,0.0,0.00895055239200592,89.58769226074219,112.19482421875,649,52.329410552978516,14.193169593811035,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks1_hidden_features8_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modereverse_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,stacked,rademacher,Mamba,True,reverse,PoissonHouman,1,-1,128,4,8,1.0,auto,tanh,none,2,False,False,False,True,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks1_hidden_features8_expansion_factor1.0_dt_rankauto_activationtanh_bidirectionalTrue_ad_modereverse_no_stdeTrue/0,10000,16,0.3535834550857544,0.3441217541694641,0.0,0.005145781660079956,51.51544737815857,112.1806640625,205,51.367069244384766,12.603338241577148,Mamba,0
Mamba/PoissonHouman/num_mamba_blocks2_hidden_features8_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalFalse_ad_modeforward_no_stdeTrue/0,0,2,10000,50000000,0.001,exponential,0.9995,adamw,0,2000,100,200,20,4,True,0.01,1.0,none,forward,rademacher,Mamba,True,forward,PoissonHouman,2,-1,128,4,8,1.0,auto,gelu,none,2,False,False,False,False,False,False,False,False,False,100,False,False,silu,Mamba/PoissonHouman/num_mamba_blocks2_hidden_features8_expansion_factor1.0_dt_rankauto_activationgelu_bidirectionalFalse_ad_modeforward_no_stdeTrue/0,10000,16,0.06977972388267517,0.07678074389696121,0.0,0.006594484114646912,66.01176810264587,112.180419921875,235,51.52863311767578,12.657624244689941,Mamba,0
